location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
Sri Lanka,21497306.0,341.96,34.1,10.07,5.33,11669.08,197.09,10.68,0.3,27.0,3.6,76.98,0.78,2021-09-14,490957.0,2475.0,11567.0,136.0,22838.07,115.13,538.07,6.33,6325.86,254.5,LKA,Asia,2.36
Sudan,44909351.0,23.26,19.7,3.55,2.03,4466.51,431.39,15.67,,,0.8,65.31,0.51,2021-09-14,37951.0,0.0,2873.0,36.0,845.06,0.0,63.97,0.8,9.08,1.34,SDN,Africa,7.57
Suriname,591798.0,3.61,29.6,6.93,4.23,13767.12,258.31,12.54,7.4,42.9,3.1,71.68,0.74,2021-09-14,34637.0,649.0,773.0,7.0,58528.42,1096.66,1306.19,11.83,13592.48,152.08,SUR,South America,2.23
Sweden,10160159.0,24.72,41.0,19.98,13.43,46949.28,133.98,4.79,18.8,18.9,2.22,82.8,0.94,2021-09-14,1141673.0,3656.0,14729.0,26.0,112367.63,359.84,1449.68,2.56,3102.9,6.99,SWE,Europe,1.29
Switzerland,8715494.0,214.24,43.1,18.44,12.64,57410.17,99.74,5.59,22.6,28.9,4.53,83.78,0.96,2021-09-14,816110.0,1992.0,10974.0,7.0,93638.98,228.56,1259.14,0.8,9263.39,18.47,CHE,Europe,1.34
Syria,18275704.0,,21.7,,2.58,,376.26,,,,1.5,72.7,0.57,2021-09-14,29805.0,157.0,2090.0,7.0,1630.85,8.59,114.36,0.38,189.49,8.37,SYR,Asia,7.01
Taiwan,23855008.0,,42.2,,8.35,,103.96,,,,,80.46,,2021-09-14,16098.0,5.0,839.0,0.0,674.83,0.21,35.17,0.0,10.31,0.75,TWN,Asia,5.21
Tajikistan,9749625.0,64.28,23.3,3.47,2.15,2896.91,427.7,7.11,,,4.8,71.1,0.67,2021-09-14,17484.0,0.0,125.0,0.0,1793.3,0.0,12.82,0.0,98.77,0.0,TJK,Asia,0.71
Tanzania,61498438.0,64.7,17.7,3.11,1.87,2683.3,217.29,5.75,3.3,26.7,0.7,65.46,0.53,2021-09-14,1367.0,0.0,50.0,0.0,22.23,0.0,0.81,0.0,0.0,0.0,TZA,Africa,3.64
Thailand,69950844.0,135.13,40.1,11.37,6.89,16277.67,109.86,7.04,1.9,38.8,2.1,77.15,0.78,2021-09-14,1406542.0,11786.0,14621.0,136.0,20107.58,168.49,209.02,1.94,7139.08,101.06,THA,Asia,1.04
Timor,1343875.0,87.18,18.0,3.56,1.9,6570.1,335.35,6.86,6.3,78.1,5.9,69.5,0.61,2021-09-14,18715.0,118.0,98.0,2.0,13926.15,87.81,72.92,1.49,4576.32,50.6,TLS,Asia,0.52
Togo,8478242.0,143.37,19.4,2.84,1.52,1429.81,280.03,6.15,0.9,14.2,0.7,61.04,0.52,2021-09-14,23947.0,169.0,208.0,1.0,2824.52,19.93,24.53,0.12,701.44,5.07,TGO,Africa,0.87
Trinidad and Tobago,1403374.0,266.89,36.2,10.01,5.82,28763.07,228.47,10.97,,,3.0,73.51,0.8,2021-09-14,47363.0,155.0,1386.0,5.0,33749.38,110.45,987.62,3.56,3916.99,146.79,TTO,North America,2.93
Tunisia,11935764.0,74.23,32.7,8.0,5.08,10849.3,318.99,8.52,1.1,65.8,2.3,76.7,0.74,2021-09-14,695406.0,9607.0,24274.0,30.0,58262.38,804.89,2033.72,2.51,5987.55,205.01,TUN,Africa,3.49
Turkey,85042736.0,104.91,31.6,8.15,5.06,25129.34,171.28,12.13,14.1,41.1,2.81,77.69,0.82,2021-09-14,6710636.0,27802.0,60393.0,276.0,78908.98,326.92,710.15,3.24,7431.71,85.06,TUR,Asia,0.9
Uganda,47123533.0,213.76,16.4,2.17,1.31,1697.71,213.33,2.5,3.4,16.7,0.5,63.37,0.54,2021-09-14,121617.0,30.0,3103.0,4.0,2580.81,0.64,65.85,0.08,522.67,4.69,UGA,Africa,2.55
Ukraine,43466822.0,77.39,41.4,16.46,11.13,7894.39,539.85,7.11,13.5,47.4,8.8,72.06,0.78,2021-09-14,2424416.0,3640.0,57913.0,116.0,55776.24,83.74,1332.35,2.67,1589.7,40.35,UKR,Europe,2.39
United Arab Emirates,9991083.0,112.44,34.0,1.14,0.53,67293.48,317.84,17.26,1.2,37.4,1.2,77.97,0.89,2021-09-14,730135.0,617.0,2066.0,2.0,73078.66,61.76,206.78,0.2,2838.43,6.51,ARE,Asia,0.28
United Kingdom,68207114.0,272.9,40.8,18.52,12.53,39753.24,122.14,4.28,20.0,24.7,2.54,81.32,0.93,2021-09-14,7316931.0,26763.0,134774.0,187.0,107275.19,392.38,1975.95,2.74,14951.14,51.39,GBR,Europe,1.84
United States,332915074.0,35.61,38.3,15.41,9.73,54225.45,151.09,10.79,19.1,24.6,2.77,78.86,0.93,2021-09-14,41461662.0,144334.0,663929.0,1823.0,124541.26,433.55,1994.29,5.48,14119.89,126.96,USA,North America,1.6
Uruguay,3485152.0,19.75,35.6,14.66,10.36,20551.41,160.71,6.93,14.0,19.9,2.8,77.91,0.82,2021-09-14,387028.0,155.0,6044.0,3.0,111050.54,44.47,1734.21,0.86,1071.98,11.76,URY,South America,1.56
Uzbekistan,33935765.0,76.13,28.2,4.47,2.87,6253.1,724.42,7.57,1.3,24.7,4.0,71.72,0.72,2021-09-14,165421.0,531.0,1164.0,5.0,4874.53,15.65,34.3,0.15,659.48,5.54,UZB,Asia,0.7
Vanuatu,314464.0,22.66,23.1,4.39,2.62,2921.91,546.3,12.02,2.8,34.5,,70.47,0.61,2021-09-14,4.0,0.0,1.0,0.0,12.72,0.0,3.18,0.0,0.0,0.0,VUT,Oceania,25.0
Vatican,812.0,,,,,,,,,,,75.12,,2021-09-14,27.0,0.0,0.0,0.0,33251.23,0.0,,,0.0,0.0,VAT,Europe,
Venezuela,28704947.0,36.25,29.0,6.61,3.92,16745.02,204.85,6.47,,,0.8,72.06,0.71,2021-09-14,348873.0,1226.0,4214.0,11.0,12153.76,42.71,146.8,0.38,1037.42,14.46,VEN,South America,1.21
Vietnam,98168829.0,308.13,32.6,7.15,4.72,6171.88,245.46,6.0,1.0,45.9,2.6,75.4,0.7,2021-09-14,635055.0,10508.0,15936.0,276.0,6469.01,107.04,162.33,2.81,3667.26,103.52,VNM,Asia,2.51
Yemen,30490639.0,53.51,20.3,2.92,1.58,1479.15,495.0,5.35,7.6,29.2,0.7,66.12,0.47,2021-09-14,8502.0,50.0,1608.0,4.0,278.84,1.64,52.74,0.13,39.65,6.72,YEM,Asia,18.91
Zambia,18920657.0,23.0,17.7,2.48,1.54,3689.25,234.5,3.94,3.1,24.7,2.0,63.89,0.58,2021-09-14,208049.0,89.0,3635.0,2.0,10995.87,4.7,192.12,0.11,305.91,5.6,ZMB,Africa,1.75
Zimbabwe,15092171.0,42.73,19.6,2.82,1.88,1899.78,307.85,1.82,1.6,30.7,1.7,61.49,0.57,2021-09-14,126817.0,418.0,4550.0,7.0,8402.83,27.7,301.48,0.46,445.86,29.22,ZWE,Africa,3.59
