location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
Jamaica,2973462.0,266.88,31.4,9.68,6.39,8193.57,206.54,11.28,5.3,28.6,1.7,74.47,0.73,2021-09-14,76987.0,536.0,1736.0,2.0,25891.37,180.26,583.83,0.67,6403.98,146.63,JAM,North America,2.25
Japan,126050796.0,347.78,48.2,27.05,18.49,39002.22,79.37,5.72,11.2,33.7,13.05,84.63,0.92,2021-09-14,1652383.0,6255.0,16919.0,55.0,13108.87,49.62,134.22,0.44,3995.53,11.87,JPN,Asia,1.02
Jordan,10269022.0,109.28,23.2,3.81,2.36,8337.49,208.26,11.75,,,1.4,74.53,0.73,2021-09-14,809443.0,2059.0,10568.0,20.0,78823.77,200.51,1029.12,1.95,2531.4,34.57,JOR,Asia,1.31
Kazakhstan,18994958.0,6.68,30.6,6.99,4.62,24055.59,466.79,7.11,7.0,43.1,6.7,73.6,0.82,2021-09-14,921440.0,3232.0,15031.0,0.0,48509.72,170.15,791.32,0.0,8486.41,223.22,KAZ,Asia,1.63
Kenya,54985702.0,87.32,20.0,2.69,1.53,2993.03,218.64,2.92,1.2,20.4,1.4,66.7,0.6,2021-09-14,244380.0,451.0,4928.0,5.0,4444.43,8.2,89.62,0.09,430.17,10.69,KEN,Africa,2.02
Kiribati,121388.0,143.7,23.2,3.9,2.21,1981.13,434.66,22.66,35.9,58.9,1.9,68.37,0.63,2021-09-14,2.0,0.0,0.0,0.0,16.48,0.0,0.0,0.0,0.0,0.0,KIR,Oceania,0.0
Kosovo,1932774.0,168.16,,,,9795.83,,,,,,,,2021-09-14,157618.0,357.0,2833.0,24.0,81550.14,184.71,1465.77,12.42,21404.99,284.05,OWID_KOS,Europe,1.8
Kuwait,4328553.0,232.13,33.7,2.35,1.11,65530.54,132.24,15.84,2.7,37.0,2.0,75.49,0.81,2021-09-14,410901.0,59.0,2434.0,2.0,94928.03,13.63,562.31,0.46,1007.5,10.4,KWT,Asia,0.59
Kyrgyzstan,6628347.0,32.33,26.3,4.49,2.88,3393.47,436.36,7.11,3.6,50.5,4.5,71.45,0.7,2021-09-14,177308.0,82.0,2576.0,2.0,26749.96,12.37,388.63,0.3,787.22,19.61,KGZ,Asia,1.45
Laos,7379358.0,29.72,24.4,4.03,2.32,6397.36,368.11,4.0,7.3,51.2,1.5,67.92,0.61,2021-09-14,17682.0,127.0,16.0,0.0,2396.14,17.21,2.17,0.0,1028.54,0.95,LAO,Asia,0.09
